CODI_MUNICIPI;DESC_MUN_REDUIDA;
17226;Vilamalla;{'17226','Vilamalla'},
17227;Vilamaniscle;{'17227','Vilamaniscle'},
17228;Vilanant;{'17228','Vilanant'},
17230;Vila-sacra;{'17230','Vila-sacra'},
17232;Vilopriu;{'17232','Vilopriu'},
17233;Vilobí d\'Onyar;{'17233','Vilobí d\'Onyar'},
17234;Biure;{'17234','Biure'},
17901;Cruïlles, Monells i Sant Sadurní de l\'Heura;{'17901','Cruïlles, Monells i Sant Sadurní de l\'Heura'},
17902;Forallac;{'17902','Forallac'},
17903;Sant Julià del Llor i Bonmatí;{'17903','Sant Julià del Llor i Bonmatí'},
25001;Abella de la Conca;{'25001','Abella de la Conca'},
25002;Àger;{'25002','Àger'},
25003;Agramunt;{'25003','Agramunt'},
25004;Alamús, Els;{'25004','Alamús, Els'},
25005;Alàs i Cerc;{'25005','Alàs i Cerc'},
25006;Albagés, L\';{'25006','Albagés, L\''},
25007;Albatàrrec;{'25007','Albatàrrec'},
25008;Albesa;{'25008','Albesa'},
25009;Albi, L\';{'25009','Albi, L\''},
25010;Alcanó;{'25010','Alcanó'},
25011;Alcarràs;{'25011','Alcarràs'},
25012;Alcoletge;{'25012','Alcoletge'},
25013;Alfarràs;{'25013','Alfarràs'},
25014;Alfés;{'25014','Alfés'},
25015;Algerri;{'25015','Algerri'},
25016;Alguaire;{'25016','Alguaire'},
25017;Alins;{'25017','Alins'},
25019;Almacelles;{'25019','Almacelles'},
25020;Almatret;{'25020','Almatret'},
25021;Almenar;{'25021','Almenar'},
25022;Alòs de Balaguer;{'25022','Alòs de Balaguer'},
25023;Alpicat;{'25023','Alpicat'},
25024;Alt Àneu;{'25024','Alt Àneu'},
25025;Naut Aran;{'25025','Naut Aran'},
25027;Anglesola;{'25027','Anglesola'},
25029;Arbeca;{'25029','Arbeca'},
25030;Pont de Bar, El;{'25030','Pont de Bar, El'},
25031;Arres;{'25031','Arres'},
25032;Arsèguel;{'25032','Arsèguel'},
25033;Artesa de Lleida;{'25033','Artesa de Lleida'},
25034;Artesa de Segre;{'25034','Artesa de Segre'},
25035;Sentiu de Sió, La;{'25035','Sentiu de Sió, La'},
25036;Aspa;{'25036','Aspa'},
25037;Avellanes i Santa Linya, Les;{'25037','Avellanes i Santa Linya, Les'},
25038;Aitona;{'25038','Aitona'},
25039;Baix Pallars;{'25039','Baix Pallars'},
25040;Balaguer;{'25040','Balaguer'},
25041;Barbens;{'25041','Barbens'},
25042;Baronia de Rialb, La;{'25042','Baronia de Rialb, La'},
25043;Vall de Boí, La;{'25043','Vall de Boí, La'},
25044;Bassella;{'25044','Bassella'},
25045;Bausen;{'25045','Bausen'},
25046;Belianes;{'25046','Belianes'},
25047;Bellcaire d\'Urgell;{'25047','Bellcaire d\'Urgell'},
25048;Bell-lloc d\'Urgell;{'25048','Bell-lloc d\'Urgell'},
25049;Bellmunt d\'Urgell;{'25049','Bellmunt d\'Urgell'},
25050;Bellpuig;{'25050','Bellpuig'},
25051;Bellver de Cerdanya;{'25051','Bellver de Cerdanya'},
25052;Bellvís;{'25052','Bellvís'},
25053;Benavent de Segrià;{'25053','Benavent de Segrià'},
25055;Biosca;{'25055','Biosca'},
25056;Bovera;{'25056','Bovera'},
25057;Bòrdes, Es;{'25057','Bòrdes, Es'},
25058;Borges Blanques, Les;{'25058','Borges Blanques, Les'},
25059;Bossòst;{'25059','Bossòst'},
25060;Cabanabona;{'25060','Cabanabona'},
25061;Cabó;{'25061','Cabó'},
25062;Camarasa;{'25062','Camarasa'},
25063;Canejan;{'25063','Canejan'},
25064;Castellar de la Ribera;{'25064','Castellar de la Ribera'},
25067;Castelldans;{'25067','Castelldans'},
25068;Castellnou de Seana;{'25068','Castellnou de Seana'},
25069;Castelló de Farfanya;{'25069','Castelló de Farfanya'},
25070;Castellserà;{'25070','Castellserà'},
25071;Cava;{'25071','Cava'},
25072;Cervera;{'25072','Cervera'},
25073;Cervià de les Garrigues;{'25073','Cervià de les Garrigues'},
25074;Ciutadilla;{'25074','Ciutadilla'},
25075;Clariana de Cardener;{'25075','Clariana de Cardener'},
25076;Cogul, El;{'25076','Cogul, El'},
25077;Coll de Nargó;{'25077','Coll de Nargó'},
25078;Corbins;{'25078','Corbins'},
25079;Cubells;{'25079','Cubells'},
25081;Espluga Calba, L\';{'25081','Espluga Calba, L\''},
25082;Espot;{'25082','Espot'},
25085;Estaràs;{'25085','Estaràs'},
25086;Esterri d\'Àneu;{'25086','Esterri d\'Àneu'},
25087;Esterri de Cardós;{'25087','Esterri de Cardós'},
25088;Estamariu;{'25088','Estamariu'},
25089;Farrera;{'25089','Farrera'},
25092;Floresta, La;{'25092','Floresta, La'},
25093;Fondarella;{'25093','Fondarella'},
25094;Foradada;{'25094','Foradada'},
25096;Fuliola, La;{'25096','Fuliola, La'},
25097;Fulleda;{'25097','Fulleda'},
25098;Gavet de la Conca;{'25098','Gavet de la Conca'},
25099;Golmés;{'25099','Golmés'},
25100;Gósol;{'25100','Gósol'},
25101;Granadella, La;{'25101','Granadella, La'},
25102;Granja d\'Escarp, La;{'25102','Granja d\'Escarp, La'},
25103;Granyanella;{'25103','Granyanella'},
25104;Granyena de Segarra;{'25104','Granyena de Segarra'},
25105;Granyena de les Garrigues;{'25105','Granyena de les Garrigues'},
25109;Guimerà;{'25109','Guimerà'},
25110;Guissona;{'25110','Guissona'},
25111;Guixers;{'25111','Guixers'},
25112;Ivars de Noguera;{'25112','Ivars de Noguera'},
25113;Ivars d\'Urgell;{'25113','Ivars d\'Urgell'},
25114;Ivorra;{'25114','Ivorra'},
25115;Isona i Conca Dellà;{'25115','Isona i Conca Dellà'},
25118;Juncosa;{'25118','Juncosa'},
25119;Juneda;{'25119','Juneda'},
25120;Lleida;{'25120','Lleida'},
25121;Les;{'25121','Les'},
25122;Linyola;{'25122','Linyola'},
25123;Lladorre;{'25123','Lladorre'},
25124;Lladurs;{'25124','Lladurs'},
25125;Llardecans;{'25125','Llardecans'},
25126;Llavorsí;{'25126','Llavorsí'},
25127;Lles de Cerdanya;{'25127','Lles de Cerdanya'},
25128;Llimiana;{'25128','Llimiana'},
25129;Llobera;{'25129','Llobera'},
25130;Maldà;{'25130','Maldà'},
25131;Massalcoreig;{'25131','Massalcoreig'},
25132;Massoteres;{'25132','Massoteres'},
25133;Maials;{'25133','Maials'},
25134;Menàrguens;{'25134','Menàrguens'},
25135;Miralcamp;{'25135','Miralcamp'},
25136;Molsosa, La;{'25136','Molsosa, La'},
25137;Mollerussa;{'25137','Mollerussa'},
25138;Montgai;{'25138','Montgai'},
25139;Montellà i Martinet;{'25139','Montellà i Martinet'},
25140;Montferrer i Castellbò;{'25140','Montferrer i Castellbò'},
25141;Montoliu de Segarra;{'25141','Montoliu de Segarra'},
25142;Montoliu de Lleida;{'25142','Montoliu de Lleida'},
25143;Montornès de Segarra;{'25143','Montornès de Segarra'},
25145;Nalec;{'25145','Nalec'},
25146;Navès;{'25146','Navès'},
25148;Odèn;{'25148','Odèn'},
25149;Oliana;{'25149','Oliana'},
25150;Oliola;{'25150','Oliola'},
25151;Olius;{'25151','Olius'},
25152;Oluges, Les;{'25152','Oluges, Les'},
25153;Omellons, Els;{'25153','Omellons, Els'},
25154;Omells de na Gaia, Els;{'25154','Omells de na Gaia, Els'},
25155;Organyà;{'25155','Organyà'},
25156;Os de Balaguer;{'25156','Os de Balaguer'},
25157;Ossó de Sió;{'25157','Ossó de Sió'},
25158;Palau d\'Anglesola, El;{'25158','Palau d\'Anglesola, El'},
25161;Conca de Dalt;{'25161','Conca de Dalt'},
25163;Coma i la Pedra, La;{'25163','Coma i la Pedra, La'},
25164;Penelles;{'25164','Penelles'},
25165;Peramola;{'25165','Peramola'},
25166;Pinell de Solsonès;{'25166','Pinell de Solsonès'},
25167;Pinós;{'25167','Pinós'},
25168;Poal, El;{'25168','Poal, El'},
25169;Pobla de Cérvoles, La;{'25169','Pobla de Cérvoles, La'},
25170;Bellaguarda;{'25170','Bellaguarda'},
25171;Pobla de Segur, La;{'25171','Pobla de Segur, La'},
25172;Ponts;{'25172','Ponts'},
25173;Pont de Suert, El;{'25173','Pont de Suert, El'},
25174;Portella, La;{'25174','Portella, La'},
25175;Prats i Sansor;{'25175','Prats i Sansor'},
25176;Preixana;{'25176','Preixana'},
25177;Preixens;{'25177','Preixens'},
25179;Prullans;{'25179','Prullans'},
25180;Puiggròs;{'25180','Puiggròs'},
25181;Puigverd d\'Agramunt;{'25181','Puigverd d\'Agramunt'},
25182;Puigverd de Lleida;{'25182','Puigverd de Lleida'},
25183;Rialp;{'25183','Rialp'},
25185;Ribera d\'Urgellet;{'25185','Ribera d\'Urgellet'},
25186;Riner;{'25186','Riner'},
25189;Rosselló;{'25189','Rosselló'},
25190;Salàs de Pallars;{'25190','Salàs de Pallars'},
25191;Sanaüja;{'25191','Sanaüja'},
25192;Sant Guim de Freixenet;{'25192','Sant Guim de Freixenet'},
25193;Sant Llorenç de Morunys;{'25193','Sant Llorenç de Morunys'},
25194;Sant Ramon;{'25194','Sant Ramon'},
25196;Sant Esteve de la Sarga;{'25196','Sant Esteve de la Sarga'},
25197;Sant Guim de la Plana;{'25197','Sant Guim de la Plana'},
25200;Sarroca de Lleida;{'25200','Sarroca de Lleida'},
25201;Sarroca de Bellera;{'25201','Sarroca de Bellera'},
25202;Senterada;{'25202','Senterada'},
25203;Seu d\'Urgell, La;{'25203','Seu d\'Urgell, La'},
25204;Seròs;{'25204','Seròs'},
25205;Sidamon;{'25205','Sidamon'},
25206;Soleràs, El;{'25206','Soleràs, El'},
25207;Solsona;{'25207','Solsona'},
25208;Soriguera;{'25208','Soriguera'},
25209;Sort;{'25209','Sort'},
25210;Soses;{'25210','Soses'},
25211;Sudanell;{'25211','Sudanell'},
25212;Sunyer;{'25212','Sunyer'},
25215;Talarn;{'25215','Talarn'},
25216;Talavera;{'25216','Talavera'},
25217;Tàrrega;{'25217','Tàrrega'},
25218;Tarrés;{'25218','Tarrés'},
25219;Tarroja de Segarra;{'25219','Tarroja de Segarra'},
25220;Térmens;{'25220','Térmens'},
25221;Tírvia;{'25221','Tírvia'},
25222;Tiurana;{'25222','Tiurana'},
25223;Torà;{'25223','Torà'},
25224;Torms, Els;{'25224','Torms, Els'},
25225;Tornabous;{'25225','Tornabous'},
25226;Torrebesses;{'25226','Torrebesses'},
25227;Torre de Cabdella, La;{'25227','Torre de Cabdella, La'},
25228;Torrefarrera;{'25228','Torrefarrera'},
25230;Torregrossa;{'25230','Torregrossa'},
25231;Torrelameu;{'25231','Torrelameu'},
25232;Torres de Segre;{'25232','Torres de Segre'},
25233;Torre-serona;{'25233','Torre-serona'},
25234;Tremp;{'25234','Tremp'},
25238;Vallbona de les Monges;{'25238','Vallbona de les Monges'},
25239;Valls de Valira, Les;{'25239','Valls de Valira, Les'},
25240;Vallfogona de Balaguer;{'25240','Vallfogona de Balaguer'},
25242;Verdú;{'25242','Verdú'},
25243;Vielha e Mijaran;{'25243','Vielha e Mijaran'},
25244;Vilagrassa;{'25244','Vilagrassa'},
25245;Vilaller;{'25245','Vilaller'},
25247;Vilamòs;{'25247','Vilamòs'},
25248;Vilanova de Bellpuig;{'25248','Vilanova de Bellpuig'},
25249;Vilanova de l\'Aguda;{'25249','Vilanova de l\'Aguda'},
25250;Vilanova de Meià;{'25250','Vilanova de Meià'},
25251;Vilanova de Segrià;{'25251','Vilanova de Segrià'},
25252;Vila-sana;{'25252','Vila-sana'},
25253;Vilosell, El;{'25253','Vilosell, El'},
25254;Vilanova de la Barca;{'25254','Vilanova de la Barca'},
25255;Vinaixa;{'25255','Vinaixa'},
25901;Vall de Cardós;{'25901','Vall de Cardós'},
25902;Sant Martí de Riucorb;{'25902','Sant Martí de Riucorb'},
25903;Guingueta d\'Àneu, La;{'25903','Guingueta d\'Àneu, La'},
25904;Castell de Mur;{'25904','Castell de Mur'},
25905;Ribera d\'Ondara;{'25905','Ribera d\'Ondara'},
25906;Valls d\'Aguilar, Les;{'25906','Valls d\'Aguilar, Les'},
25907;Torrefeta i Florejacs;{'25907','Torrefeta i Florejacs'},
25908;Fígols i Alinyà;{'25908','Fígols i Alinyà'},
25909;Vansa i Fórnols, La;{'25909','Vansa i Fórnols, La'},
25910;Josa i Tuixén;{'25910','Josa i Tuixén'},
25911;Plans de Sió, Els;{'25911','Plans de Sió, Els'},
25912;Gimenells i el Pla de la Font;{'25912','Gimenells i el Pla de la Font'},
25913;Riu de Cerdanya;{'25913','Riu de Cerdanya'},
43001;Aiguamúrcia;{'43001','Aiguamúrcia'},
43002;Albinyana;{'43002','Albinyana'},
43003;Albiol, L\';{'43003','Albiol, L\''},
43004;Alcanar;{'43004','Alcanar'},
43005;Alcover;{'43005','Alcover'},
43006;Aldover;{'43006','Aldover'},
43007;Aleixar, L\';{'43007','Aleixar, L\''},
43008;Alfara de Carles;{'43008','Alfara de Carles'},
43009;Alforja;{'43009','Alforja'},
43010;Alió;{'43010','Alió'},
43011;Almoster;{'43011','Almoster'},
43012;Altafulla;{'43012','Altafulla'},
43013;Ametlla de Mar, L\';{'43013','Ametlla de Mar, L\''},
43014;Amposta;{'43014','Amposta'},
43015;Arbolí;{'43015','Arbolí'},
43016;Arboç, L\';{'43016','Arboç, L\''},
43017;Argentera, L\';{'43017','Argentera, L\''},
43018;Arnes;{'43018','Arnes'},
43019;Ascó;{'43019','Ascó'},
43020;Banyeres del Penedès;{'43020','Banyeres del Penedès'},
43021;Barberà de la Conca;{'43021','Barberà de la Conca'},
43022;Batea;{'43022','Batea'},
43023;Bellmunt del Priorat;{'43023','Bellmunt del Priorat'},
43024;Bellvei;{'43024','Bellvei'},
43025;Benifallet;{'43025','Benifallet'},
43026;Benissanet;{'43026','Benissanet'},
43027;Bisbal de Falset, La;{'43027','Bisbal de Falset, La'},
43028;Bisbal del Penedès, La;{'43028','Bisbal del Penedès, La'},
43029;Blancafort;{'43029','Blancafort'},
43030;Bonastre;{'43030','Bonastre'},
43031;Borges del Camp, Les;{'43031','Borges del Camp, Les'},
43032;Bot;{'43032','Bot'},
43033;Botarell;{'43033','Botarell'},
43034;Bràfim;{'43034','Bràfim'},
43035;Cabacés;{'43035','Cabacés'},
43036;Cabra del Camp;{'43036','Cabra del Camp'},
43037;Calafell;{'43037','Calafell'},
43038;Cambrils;{'43038','Cambrils'},
43039;Capafonts;{'43039','Capafonts'},
43040;Capçanes;{'43040','Capçanes'},
43041;Caseres;{'43041','Caseres'},
43042;Castellvell del Camp;{'43042','Castellvell del Camp'},
43043;Catllar, El;{'43043','Catllar, El'},
43044;Sénia, La;{'43044','Sénia, La'},
43045;Colldejou;{'43045','Colldejou'},
43046;Conesa;{'43046','Conesa'},
43047;Constantí;{'43047','Constantí'},
43048;Corbera d\'Ebre;{'43048','Corbera d\'Ebre'},
43049;Cornudella de Montsant;{'43049','Cornudella de Montsant'},
43050;Creixell;{'43050','Creixell'},
43051;Cunit;{'43051','Cunit'},
43052;Xerta;{'43052','Xerta'},
43053;Duesaigües;{'43053','Duesaigües'},
43054;Espluga de Francolí, L\';{'43054','Espluga de Francolí, L\''},
43055;Falset;{'43055','Falset'},
43056;Fatarella, La;{'43056','Fatarella, La'},
43057;Febró, La;{'43057','Febró, La'},
43058;Figuera, La;{'43058','Figuera, La'},
43059;Figuerola del Camp;{'43059','Figuerola del Camp'},
43060;Flix;{'43060','Flix'},
43061;Forès;{'43061','Forès'},
43062;Freginals;{'43062','Freginals'},
43063;Galera, La;{'43063','Galera, La'},
43064;Gandesa;{'43064','Gandesa'},
43065;Garcia;{'43065','Garcia'},
43066;Garidells, Els;{'43066','Garidells, Els'},
43067;Ginestar;{'43067','Ginestar'},
43068;Godall;{'43068','Godall'},
43069;Gratallops;{'43069','Gratallops'},
43070;Guiamets, Els;{'43070','Guiamets, Els'},
43071;Horta de Sant Joan;{'43071','Horta de Sant Joan'},
43072;Lloar, El;{'43072','Lloar, El'},
43073;Llorac;{'43073','Llorac'},
43074;Llorenç del Penedès;{'43074','Llorenç del Penedès'},
43075;Margalef;{'43075','Margalef'},
43076;Marçà;{'43076','Marçà'},
43077;Mas de Barberans;{'43077','Mas de Barberans'},
43078;Masdenverge;{'43078','Masdenverge'},
43079;Masllorenç;{'43079','Masllorenç'},
43080;Masó, La;{'43080','Masó, La'},
43081;Maspujols;{'43081','Maspujols'},
43082;Masroig, El;{'43082','Masroig, El'},
43083;Milà, El;{'43083','Milà, El'},
43084;Miravet;{'43084','Miravet'},
43085;Molar, El;{'43085','Molar, El'},
43086;Montblanc;{'43086','Montblanc'},
43088;Montbrió del Camp;{'43088','Montbrió del Camp'},
43089;Montferri;{'43089','Montferri'},
43090;Montmell, El;{'43090','Montmell, El'},
43091;Mont-ral;{'43091','Mont-ral'},
43092;Mont-roig del Camp;{'43092','Mont-roig del Camp'},
43093;Móra d\'Ebre;{'43093','Móra d\'Ebre'},
43094;Móra la Nova;{'43094','Móra la Nova'},
43095;Morell, El;{'43095','Morell, El'},
43096;Morera de Montsant, La;{'43096','Morera de Montsant, La'},
43097;Nou de Gaià, La;{'43097','Nou de Gaià, La'},
43098;Nulles;{'43098','Nulles'},
43099;Palma d\'Ebre, La;{'43099','Palma d\'Ebre, La'},
43100;Pallaresos, Els;{'43100','Pallaresos, Els'},
43101;Passanant i Belltall;{'43101','Passanant i Belltall'},
43102;Paüls;{'43102','Paüls'},
43103;Perafort;{'43103','Perafort'},
43104;Perelló, El;{'43104','Perelló, El'},
43105;Piles, Les;{'43105','Piles, Les'},
43106;Pinell de Brai, El;{'43106','Pinell de Brai, El'},
43107;Pira;{'43107','Pira'},
43108;Pla de Santa Maria, El;{'43108','Pla de Santa Maria, El'},
43109;Pobla de Mafumet, La;{'43109','Pobla de Mafumet, La'},
43110;Pobla de Massaluca, La;{'43110','Pobla de Massaluca, La'},
43111;Pobla de Montornès, La;{'43111','Pobla de Montornès, La'},
43112;Poboleda;{'43112','Poboleda'},
43113;Pont d\'Armentera, El;{'43113','Pont d\'Armentera, El'},
43114;Porrera;{'43114','Porrera'},
43115;Pradell de la Teixeta;{'43115','Pradell de la Teixeta'},
43116;Prades;{'43116','Prades'},
43117;Prat de Comte;{'43117','Prat de Comte'},
43118;Pratdip;{'43118','Pratdip'},
43119;Puigpelat;{'43119','Puigpelat'},
43120;Querol;{'43120','Querol'},
43121;Rasquera;{'43121','Rasquera'},
43122;Renau;{'43122','Renau'},
43123;Reus;{'43123','Reus'},
43124;Riba, La;{'43124','Riba, La'},
43125;Riba-roja d\'Ebre;{'43125','Riba-roja d\'Ebre'},
43126;Riera de Gaià, La;{'43126','Riera de Gaià, La'},
43127;Riudecanyes;{'43127','Riudecanyes'},
43128;Riudecols;{'43128','Riudecols'},
43129;Riudoms;{'43129','Riudoms'},
43130;Rocafort de Queralt;{'43130','Rocafort de Queralt'},
43131;Roda de Berà;{'43131','Roda de Berà'},
43132;Rodonyà;{'43132','Rodonyà'},
43133;Roquetes;{'43133','Roquetes'},
43134;Rourell, El;{'43134','Rourell, El'},
43135;Salomó;{'43135','Salomó'},
43136;Sant Carles de la Ràpita;{'43136','Sant Carles de la Ràpita'},
43137;Sant Jaume dels Domenys;{'43137','Sant Jaume dels Domenys'},
43138;Santa Bàrbara;{'43138','Santa Bàrbara'},
43139;Santa Coloma de Queralt;{'43139','Santa Coloma de Queralt'},
43140;Santa Oliva;{'43140','Santa Oliva'},
43141;Pontils;{'43141','Pontils'},
43142;Sarral;{'43142','Sarral'},
43143;Savallà del Comtat;{'43143','Savallà del Comtat'},
43144;Secuita, La;{'43144','Secuita, La'},
43145;Selva del Camp, La;{'43145','Selva del Camp, La'},
43146;Senan;{'43146','Senan'},
43147;Solivella;{'43147','Solivella'},
43148;Tarragona;{'43148','Tarragona'},
43149;Tivenys;{'43149','Tivenys'},
43150;Tivissa;{'43150','Tivissa'},
43151;Torre de Fontaubella, La;{'43151','Torre de Fontaubella, La'},
43152;Torre de l\'Espanyol, La;{'43152','Torre de l\'Espanyol, La'},
43153;Torredembarra;{'43153','Torredembarra'},
43154;Torroja del Priorat;{'43154','Torroja del Priorat'},
43155;Tortosa;{'43155','Tortosa'},
43156;Ulldecona;{'43156','Ulldecona'},
43157;Ulldemolins;{'43157','Ulldemolins'},
43158;Vallclara;{'43158','Vallclara'},
43159;Vallfogona de Riucorb;{'43159','Vallfogona de Riucorb'},
43160;Vallmoll;{'43160','Vallmoll'},
43161;Valls;{'43161','Valls'},
43162;Vandellòs i l\'Hospitalet de l\'Infant;{'43162','Vandellòs i l\'Hospitalet de l\'Infant'},
43163;Vendrell, El;{'43163','Vendrell, El'},
43164;Vespella de Gaià;{'43164','Vespella de Gaià'},
43165;Vilabella;{'43165','Vilabella'},
43166;Vilallonga del Camp;{'43166','Vilallonga del Camp'},
43167;Vilanova d\'Escornalbou;{'43167','Vilanova d\'Escornalbou'},
43168;Vilanova de Prades;{'43168','Vilanova de Prades'},
43169;Vilaplana;{'43169','Vilaplana'},
43170;Vila-rodona;{'43170','Vila-rodona'},
43171;Vila-seca;{'43171','Vila-seca'},
43172;Vilaverd;{'43172','Vilaverd'},
43173;Vilella Alta, La;{'43173','Vilella Alta, La'},
43174;Vilella Baixa, La;{'43174','Vilella Baixa, La'},
43175;Vilalba dels Arcs;{'43175','Vilalba dels Arcs'},
43176;Vimbodí i Poblet;{'43176','Vimbodí i Poblet'},
43177;Vinebre;{'43177','Vinebre'},
43178;Vinyols i els Arcs;{'43178','Vinyols i els Arcs'},
43901;Deltebre;{'43901','Deltebre'},
43902;Sant Jaume d\'Enveja;{'43902','Sant Jaume d\'Enveja'},
43903;Camarles;{'43903','Camarles'},
43904;Aldea, L\';{'43904','Aldea, L\''},
43905;Salou;{'43905','Salou'},
43906;Ampolla, L\';{'43906','Ampolla, L\''},
43907;Canonja, La;{'43907','Canonja, La'},
